long,lat,num_registro,periodo,categoria,establecimiento,telefono,mail,calle,calle_nro,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.430627,-34.572422,229,2019,1*,248 FINISTERRA,(54 11) 4773 0901/ 4776 8777,info@248finisterra.com,BAEZ ,248,Palermo,Comuna 14,1426,C1426BRF
-58.394791,-34.596496,129,2019,1*,ALFA,(54 11) 4812-2889 / 3719,reservas@alfahotel.com.ar,RIOBAMBA ,1064,Recoleta,Comuna 2,1116,C1116ABF
-58.385505,-34.609331,46,2019,1*,AVENIDA PETIT HOTEL,(54 11) 4381-2428 / 7831,avenidapetit@gmail.com,AV. DE MAYO ,1347,Monserrat,Comuna 1,1085,C1085ABD
-58.376078,-34.615128,67-A/11,2019,1*,AYRES PORTEÑOS TANGO SUITES,(54 11) 4300-7314,tangosuites@ayresportenos.com.ar,CHACABUCO ,615,Monserrat,Comuna 1,1069,C1069AAM
-58.374441,-34.617901,505,2019,1*,BOHEMIA BUENOS AIRES HOTEL,(54 11) 4115-2561/2566,info@bohemiabuenosaires.com.ar,PERU ,845,San Telmo,Comuna 1,1068,C1068AAG
-58.377122,-34.627141,5,2019,1*,BRISAS HOTEL,(54 11) 4300-5076 / 77,reservashotelbrisas@gmail.com,TACUARI ,1621,Constitucion,Comuna 1,1139,C1139AAI
-58.404604,-34.609091,128,2019,1*,CASTELLI 75,(54 11) 4952-9003 / 8584,,CASTELLI ,75,Balvanera,Comuna 3,1031,C1031AAA
-58.388981,-34.611914,35,2019,1*,CEVALLOS PALACE HOTEL,(54 11) 4372-7636,hotelcevallos@hotmail.com,VIRREY CEVALLOS ,261,Monserrat,Comuna 1,1077,C1077AAE
-58.408614,-34.613372,71,2019,1*,CONDOR HOTEL,(54 11) 4932-7626,hotelcondor@hotmail.com,LA RIOJA ,258,Balvanera,Comuna 3,1214,C1214ADF
-58.461529,-34.569843,141,2019,1*,DE LA RUE,(54 11) 4551-4884 / 4552-4048,info@hoteldelarue.com.ar,FREIRE ,1765,Belgrano,Comuna 13,1426,C1426AWI
-58.395648,-34.610601,70 A/12,2019,1*,DEL CONGRESO,(54 11) 4952 7728 / 4952 0385,,H. YRIGOYEN ,2064,Balvanera,Comuna 3,1089,C1089AAN
-58.378597,-34.608229,113,2019,1*,DU HELDER HOTEL,(54 11) 4345-3644/3650,hotelduhelder@hotmail.com,RIVADAVIA ,857,San Nicolas,Comuna 1,1002,C1002AAG
-58.377360,-34.602383,63,2019,1*,EL CABILDO,(54 11) 4322-6695 / 6745,reservas@hotelelcabildo.com,LAVALLE ,748,San Nicolas,Comuna 1,1047,C1047AAP
-58.394637,-34.597224,131,2019,1*,EL CASTILLO HOTEL,(54 11) 4813-2048,gerencia@hotel-elcastillo.com.ar,MARCELO T. DE ALVEAR ,1893,Recoleta,Comuna 2,1122,C1122AAA
-58.410138,-34.612572,135,2019,1*,FIORENTINO HOTEL,(54 11) 4932-9641 / 4931-1368,,URQUIZA ,187,Balvanera,Comuna 3,1215,C1215ADC
-58.376442,-34.601139,186,2019,1*,FROSSARD HOTEL,(54 11) 4322-1811,reservas@hotelfrossard.com.ar,TUCUMAN ,686,San Nicolas,Comuna 1,1049,C1049AAN
-58.393456,-34.605774,209,2019,1*,GRAN SARMIENTO,(54 11) 43748069,hotelgransarmiento@infovia.com.ar,SARMIENTO ,1892,Balvanera,Comuna 3,1044,C1044AAB
-58.407147,-34.612066,137,2019,1*,HISPANO ARGENTINO,(54 11) 4931 5543 / 4932-3980,contacto@hhispanoargentino.com.ar,CATAMARCA ,167,Balvanera,Comuna 3,1213,C1213ABC
